step,type,nameOrig,nameDest,isFraud,isFlaggedFraud
1,PAYMENT,C1231006815,M1979787155,0,0
1,PAYMENT,C1666544295,M2044282225,0,0
1,TRANSFER,C1305486145,C553264065,1,0
1,CASH_OUT,C840083671,C38997010,1,0
1,PAYMENT,C2048537720,M1230701703,0,0
1,PAYMENT,C90045638,M573487274,0,0
1,PAYMENT,C154988899,M408069119,0,0
1,PAYMENT,C1912850431,M633326333,0,0
1,PAYMENT,C1265012928,M1176932104,0,0
1,DEBIT,C712410124,C195600860,0,0
1,DEBIT,C1900366749,C997608398,0,0
1,PAYMENT,C249177573,M2096539129,0,0
1,PAYMENT,C1648232591,M972865270,0,0
1,PAYMENT,C1716932897,M801569151,0,0
1,PAYMENT,C1026483832,M1635378213,0,0
1,CASH_OUT,C905080434,C476402209,0,0
1,PAYMENT,C761750706,M1731217984,0,0
1,PAYMENT,C1237762639,M1877062907,0,0
1,PAYMENT,C2033524545,M473053293,0,0
1,TRANSFER,C1670993182,C1100439041,0,0
1,PAYMENT,C20804602,M1344519051,0,0
1,DEBIT,C1566511282,C1973538135,0,0
1,DEBIT,C1959239586,C515132998,0,0
1,PAYMENT,C504336483,M1404932042,0,0
1,TRANSFER,C1984094095,C932583850,0,0
1,PAYMENT,C1043358826,M1558079303,0,0
1,PAYMENT,C1671590089,M58488213,0,0
1,PAYMENT,C1053967012,M295304806,0,0
1,PAYMENT,C1632497828,M33419717,0,0
1,PAYMENT,C764826684,M1940055334,0,0
1,PAYMENT,C2103763750,M335107734,0,0
1,PAYMENT,C215078753,M1757317128,0,0
1,PAYMENT,C840514538,M1804441305,0,0
1,PAYMENT,C1768242710,M1971783162,0,0
1,PAYMENT,C247113419,M151442075,0,0
1,PAYMENT,C1238616099,M70695990,0,0
1,PAYMENT,C1608633989,M1615617512,0,0
1,PAYMENT,C923341586,M107994825,0,0
1,PAYMENT,C1470868839,M1426725223,0,0
1,PAYMENT,C711197015,M1384454980,0,0
1,PAYMENT,C1481594086,M1569435561,0,0
1,DEBIT,C1466917878,C1297685781,0,0
1,CASH_OUT,C768216420,C1509514333,0,0
1,PAYMENT,C260084831,M267814113,0,0
1,PAYMENT,C598357562,M1593224710,0,0
1,PAYMENT,C1440738283,M1849015357,0,0
1,PAYMENT,C484199463,M2008106788,0,0
1,CASH_OUT,C1570470538,C824009085,0,0
1,CASH_OUT,C512549200,C248609774,0,0
1,PAYMENT,C1615801298,M490391704,0,0
1,PAYMENT,C460570271,M1653361344,0,0
1,CASH_OUT,C2072313080,C2001112025,0,0
1,PAYMENT,C816944408,M909132503,0,0
1,PAYMENT,C912966811,M1792384402,0,0
1,PAYMENT,C1458621573,M1658980982,0,0
1,PAYMENT,C46941357,M1152606315,0,0
1,PAYMENT,C343345308,M1714688478,0,0
1,PAYMENT,C104716441,M1506951181,0,0
1,TRANSFER,C1976401987,C1937962514,0,0
1,DEBIT,C867288517,C242131142,0,0
1,CASH_OUT,C1528834618,C476800120,0,0
1,DEBIT,C280615803,C1254526270,0,0
1,DEBIT,C166694583,C1129670968,0,0
1,PAYMENT,C885910946,M1860591867,0,0
1,DEBIT,C811207775,C1971489295,0,0
1,PAYMENT,C1161148117,M516875052,0,0
1,PAYMENT,C1131592118,M589987187,0,0
1,PAYMENT,C1262609629,M587180314,0,0
1,DEBIT,C1955990522,C1330106945,0,0
1,PAYMENT,C69673470,M1082411691,0,0
1,CASH_OUT,C527211736,C2096057945,0,0
